case,dP_sim,dP_exp,err_dP%,Q_sim,Q_exp,err_Q%,wall_s,exit_A,simple_iters_A,outer_iters,converged,res_mass_legacy,res_mom,res_mass_local,res_mass_global,backflow_frac,mode,mom_tol
4,17908.280782148766,18456.061714415126,-2.968027202891909,1283.790722306388,1269.09427565157,1.1580263922688323,0.5952344000106677,tol,316,3,False,0.0009365402119843239,8.942649688149533e-06,2.2232075423815767e-09,3.629064427326573e-08,0.0,f2@1e-05,1e-05
5,36731.20593711229,36260.139271255066,1.2991308784923974,1913.6500105436096,1891.0887712541967,1.1930290969074917,0.6132875999901444,tol,316,3,False,0.0009267078357511414,8.241088586056708e-06,4.16980465253329e-09,1.3331590359662415e-08,0.0,f2@1e-05,1e-05
6,58807.33193321992,58702.7203898051,0.17820561418646597,2534.595609089949,2513.932051245854,0.8219616689263588,0.5874238000251353,tol,310,3,False,0.0009064827147063964,8.649189435960507e-06,6.80172071978306e-09,9.75712447454549e-09,0.0,f2@1e-05,1e-05
7,70689.80758277529,71067.29116766468,-0.5311636038002513,2622.8212400383436,2605.674844153385,0.6580405043028166,0.5678723999881186,tol,304,3,False,0.0008941257250826448,8.358866660379833e-06,7.841596528093966e-09,1.8483787899043434e-08,0.0,f2@1e-05,1e-05
8,80864.65339830359,81996.5771881461,-1.380452487968172,2821.469459726571,2795.7223192336955,0.9209477034161551,0.5661872999626212,tol,302,3,False,0.000885251371342469,8.700496912436205e-06,9.093045634056059e-09,2.785677892071067e-08,0.0,f2@1e-05,1e-05
9,92563.80152344618,94497.03459747173,-2.045813482148444,2794.3421199112445,2783.1181653308736,0.4032870296413206,0.5487708000000566,tol,297,3,False,0.0008737916379525396,8.933417849288257e-06,1.0604591858887506e-08,3.575428856566026e-08,0.0,f2@1e-05,1e-05
10,104314.69274977363,106605.26741914477,-2.1486505543531766,2777.9925753546395,2775.7621661416856,0.08035303745256193,0.5436211000196636,tol,293,3,False,0.000862329846797382,8.499449639119148e-06,1.1188867082107996e-08,4.150291523092512e-08,0.0,f2@1e-05,1e-05
11,116567.02314648415,118286.89393643984,-1.4539825442367638,2774.2298640440717,2779.9905934861486,-0.20722118468943343,0.5266265000100248,tol,289,3,False,0.000849676821768502,8.223060054082767e-06,1.1949286556155259e-08,4.8143287620161775e-08,0.0,f2@1e-05,1e-05
12,130530.81773049923,129212.5138101983,1.0202602529948424,2717.489440644991,2535.868061142537,7.162098939036462,0.5111004000063986,tol,283,3,False,0.0008320225256874918,8.481144977282148e-06,1.4056435425004126e-08,6.066526505742387e-08,0.0,f2@1e-05,1e-05
13,145282.43325096235,140258.90562036054,3.581610457020827,2703.5649051150713,2726.9328912092415,-0.8569329362486732,0.5204257000004873,tol,280,3,False,0.000812652293767171,8.001329348330631e-06,1.50564089967477e-08,6.977510185321288e-08,0.0,f2@1e-05,1e-05
14,158839.79303364694,151917.0532262114,4.556920806729492,2618.229104331983,2648.0398253390736,-1.1257655841061052,0.5360077999648638,tol,277,3,False,0.0007975706093715845,8.200271743320098e-06,1.7128645354444093e-08,8.153342351792362e-08,0.0,f2@1e-05,1e-05
15,170951.4465721091,165066.9057230455,3.5649428474396156,2515.6713084766575,2560.5242848083044,-1.7517106397998825,0.5179411999997683,tol,273,3,False,0.0007895828030576432,8.459396095412612e-06,1.8862938234087605e-08,8.925418440304283e-08,0.0,f2@1e-05,1e-05
16,181902.11224604552,178684.31775700935,1.8008264683932746,2425.7148067775447,2481.340390100858,-2.241755445775503,0.5147548000095412,tol,271,3,False,0.0007861008788444738,8.0038864294713e-06,1.8389522796219515e-08,8.648546171579353e-08,0.0,f2@1e-05,1e-05
